Duration,Start date,End date,Start station #,Start Station Lat,Start Station Lng,End station #,LATITUDE,LONGITUDE,Bike number
W00544,616,1/2/12 11:52,31619,38.89696,-77.00493,31000,38.944551,-77.063896,W00544
W00049,616,1/1/12 13:30,31008,38.9086,-77.0323,31001,38.890461,-76.988355,W00049
W01234,438,1/3/12 11:29,31621,38.903407,-77.043648,31002,38.920669,-77.04368,W01234
W00045,362,1/2/12 17:01,31103,38.884,-76.995397,31003,38.890461,-76.988355,W00045
W00186,224,1/3/12 17:28,31501,38.9008,-77.047,31004,38.902061,-77.038322,W00186
W00357,347,1/3/12 15:27,31006,38.905737,-77.02227,31005,38.903407,-77.043648,W00357
W00714,782,1/3/12 18:07,31017,38.881185,-77.001828,31006,38.89696,-77.00493,W00714
W00166,674,1/2/12 18:38,31111,38.922925,-77.042581,31007,38.9003,-77.0429,W00166
W01093,11984,1/1/12 16:30,31610,38.9003,-77.0429,31008,38.9086,-77.0323,W01093
W00276,443,1/3/12 12:06,31617,38.89696,-77.00493,31009,38.90534,-77.046774,W00276
W00801,526,1/3/12 14:09,31218,38.90375,-77.06269,31010,38.899032,-77.033354,W00801
W01250,829,1/2/12 13:17,31204,38.905126,-77.056887,31011,38.8629,-77.0528,W01250
W01094,604,1/3/12 12:57,31009,38.9176,-77.0321,31012,38.9057,-77.0056,W01094
W00516,404,1/3/12 17:40,31001,38.890461,-76.988355,31013,38.905737,-77.02227,W00516
W01330,324,1/2/12 21:43,31216,38.905737,-77.02227,31014,38.8997,-77.023086,W01330
W00191,166,1/3/12 10:13,31020,38.90985,-77.034438,31015,38.90304,-77.019027,W00191
W00864,373,1/2/12 14:44,31108,38.898364,-77.027869,31016,38.9003,-77.0429,W00864
W00383,802,1/3/12 10:06,31307,38.912939,-77.032085,31017,38.9086,-77.0323,W00383
W01028,1025,1/3/12 14:20,31505,38.8997,-77.023086,31018,38.898364,-77.027869,W01028
W00100,934,1/2/12 20:32,31504,38.878694,-77.023054,31019,38.9176,-77.0321,W00100
W01011,599,1/3/12 18:05,31000,38.890461,-76.988355,31020,38.9319,-77.0388,W01011
W01247,1003,1/3/12 9:16,31019,38.8997,-77.023086,31021,38.90985,-77.034438,W01247
W01244,426,1/3/12 12:33,31502,38.9008,-77.047,31022,38.923203,-77.047637,W01244
W01128,104,1/4/12 8:36,31030,38.902061,-77.038322,31023,38.9059,-77.0325,W01128
W00665,458,1/3/12 19:20,31024,38.9121,-77.0387,31024,38.90985,-77.034438,W00665
W00045,487,1/3/12 20:55,31306,38.912939,-77.032085,31025,38.905067,-77.041779,W00045
W01190,558,1/4/12 8:08,31240,38.8946,-77.072305,31026,38.902221,-77.059219,W01190
W00368,884,1/4/12 9:06,31249,38.903827,-77.053485,31027,38.9121,-77.0387,W00368
W01367,608,1/4/12 8:31,31023,38.905126,-77.056887,31028,38.9121,-77.0387,W01367
W01251,549,1/4/12 8:58,31507,38.9059,-77.0325,31029,38.897315,-77.070993,W01251
W00754,610,1/4/12 8:35,31029,38.897222,-77.019347,31030,38.9176,-77.0321,W00754
W00083,84,1/4/12 10:14,31028,38.889955,-77.000349,31031,38.922925,-77.042581,W00083
W00584,276,1/4/12 15:01,31040,38.9101,-77.0444,31032,38.929464,-77.027822,W00584
W01233,162,1/4/12 8:48,31034,38.894514,-77.031617,31033,38.9155,-77.0222,W01233
W00374,781,1/4/12 10:38,31038,38.89696,-77.00493,31034,38.8803,-76.9862,W00374
W01210,484,1/4/12 9:07,31031,38.905996,-77.039802,31035,38.881185,-77.001828,W01210
W00292,426,1/4/12 9:13,31037,38.90534,-77.046774,31036,38.929464,-77.027822,W00292
W00797,793,1/4/12 8:52,31033,38.902221,-77.059219,31037,38.900412,-77.001949,W00797
W01365,2174,1/4/12 11:30,31707,38.862669,-76.994637,31038,38.90276,-77.03863,W01365
W01235,545,1/4/12 15:05,31039,38.922925,-77.042581,31039,38.8997,-77.023086,W01235
W00725,610,1/4/12 15:50,31803,38.8767,-77.0178,31040,38.898385,-77.031666,W00725
W00843,2216,1/4/12 18:04,31044,38.900283,-77.029822,31041,38.90985,-77.034438,W00843
W00261,244,1/4/12 17:39,31042,38.9126,-77.0135,31042,38.886266,-77.022241,W00261
W00303,278,1/4/12 17:32,31050,38.9101,-77.0444,31043,38.9268,-77.0322,W00303
W00892,1701,1/4/12 18:02,31043,38.926088,-77.036536,31044,38.886952,-76.996806,W00892
W01376,321,1/4/12 18:11,31045,38.90534,-77.046774,31045,38.9008,-77.047,W01376
W00523,808,1/4/12 17:38,31048,38.899972,-76.998347,31046,38.893438,-77.076389,W00523
W00438,1108,1/4/12 17:52,31041,38.8767,-77.0178,31047,38.905126,-77.056887,W00438
W01399,543,1/4/12 17:26,31806,38.890461,-76.988355,31048,38.900283,-77.029822,W01399
W00496,377,1/4/12 17:19,31049,38.927872,-77.043358,31049,38.9121,-77.0387,W00496
W00345,473,1/4/12 17:51,31051,38.8963,-77.045,31050,38.90985,-77.034438,W00345
W01365,415,1/4/12 17:59,31047,38.9086,-77.0323,31051,38.8426,-77.0502,W01365
W01277,594,1/4/12 18:23,31258,38.920669,-77.04368,31052,38.881185,-77.001828,W01277
W00306,492,1/1/12 13:05,31203,38.9101,-77.0444,31100,38.900412,-77.001949,W00306
W00238,1408,1/1/12 19:10,31301,38.903407,-77.043648,31101,38.9375,-77.0328,W00238
W00780,819,1/1/12 9:58,31200,38.9101,-77.0444,31102,38.900283,-77.029822,W00780
W01071,2507,1/1/12 15:56,31603,38.9059,-77.0325,31103,38.9155,-77.0222,W01071
W00983,2736,1/1/12 17:22,31625,38.882915,-76.987907,31104,38.889955,-77.000349,W00983
W00772,589,1/2/12 20:22,31220,38.886952,-76.996806,31105,38.902061,-77.038322,W00772
W01234,918,1/1/12 19:40,31104,38.9101,-77.0444,31106,38.897222,-77.019347,W01234
W01310,342,1/1/12 19:41,31622,38.917761,-77.04062,31107,38.920669,-77.04368,W01310
W01328,1255,1/1/12 12:25,31231,38.894514,-77.031617,31108,38.902061,-77.038322,W01328
W00801,2926,1/1/12 16:29,31607,38.90304,-77.019027,31109,38.905126,-77.056887,W00801
W00772,680,1/2/12 15:07,31611,38.882915,-76.987907,31110,38.905996,-77.039802,W00772
W00163,605,1/1/12 2:36,31107,38.9319,-77.0388,31111,38.899632,-77.031686,W00163
W00680,430,1/3/12 16:18,31703,38.897446,-77.009888,31112,38.8997,-77.023086,W00680
W00981,1268,1/1/12 1:39,31110,38.9154,-77.0446,31113,38.884,-76.995397,W00981
W00077,294,1/2/12 22:17,31012,38.905067,-77.041779,31115,38.902221,-77.059219,W00077
W00902,562,1/1/12 9:42,31205,38.9008,-77.047,31116,38.9126,-77.0135,W00902
W01376,559,1/1/12 13:01,31225,38.90375,-77.06269,31200,38.894514,-77.031617,W01376
W00790,460,1/1/12 0:53,31229,38.91554,-77.03818,31201,38.90985,-77.034438,W00790
W01070,599,1/2/12 14:28,31239,38.89696,-77.00493,31202,38.9059,-77.0325,W01070
W01283,411,1/1/12 16:35,31614,38.884,-76.995397,31203,38.9154,-77.0446,W01283
W00148,2319,1/1/12 12:16,31235,38.8923,-77.0436,31204,38.8923,-77.0436,W00148
W00279,1621,1/1/12 13:49,31101,38.886952,-76.996806,31205,38.9059,-77.0325,W00279
W00826,142,1/2/12 17:54,31113,38.898385,-77.031666,31206,38.90534,-77.046774,W00826
W00202,415,1/2/12 19:18,31011,38.9059,-77.0325,31207,38.897446,-77.009888,W00202
W01172,416,1/2/12 20:16,31605,38.9059,-77.0325,31208,38.89696,-77.00493,W01172
W01279,796,1/3/12 17:20,31022,38.9008,-77.047,31209,38.897222,-77.019347,W01279
W00789,1422,1/3/12 12:55,31004,38.90534,-77.046774,31211,38.922925,-77.042581,W00789
W00266,351,1/1/12 18:44,31214,38.89696,-77.00493,31212,38.886277,-77.028242,W00266
W00231,910,1/1/12 16:40,31116,38.9057,-77.0056,31213,38.9101,-77.0444,W00231
W00007,192,1/2/12 6:24,31305,38.947607,-77.079382,31214,38.886277,-77.028242,W00007
W01052,314,1/2/12 12:32,31618,38.9176,-77.0321,31215,38.8767,-77.0178,W01052
W00240,897,1/2/12 16:48,31112,38.882915,-76.987907,31216,38.89696,-77.00493,W00240
W00646,461,1/1/12 12:06,31014,38.897315,-77.070993,31217,38.9126,-77.0135,W00646
W00393,411,1/1/12 14:12,31215,38.90276,-77.03863,31218,38.884,-76.995397,W00393
W01073,385,1/2/12 22:32,31209,38.915417,-77.012289,31219,38.926088,-77.036536,W01073
W00686,458,1/2/12 19:19,31219,38.923203,-77.047637,31220,38.90276,-77.03863,W00686
W00591,338,1/2/12 9:11,31211,38.9008,-77.047,31221,38.900283,-77.029822,W00591
W01136,453,1/2/12 11:53,31109,38.905126,-77.056887,31222,38.923203,-77.047637,W01136
W01270,487,1/1/12 13:02,31100,38.90985,-77.034438,31223,38.90534,-77.046774,W01270
W00702,742,1/3/12 6:55,31206,38.934267,-77.057979,31224,38.89968,-77.041539,W00702
W01114,135,1/1/12 11:49,31404,38.9418,-77.0251,31225,38.9126,-77.0135,W01114
W00034,454,1/3/12 9:31,31018,38.900412,-77.001949,31226,38.894514,-77.031617,W00034
W00539,1055,1/2/12 13:11,31015,38.922925,-77.042581,31227,38.9086,-77.0323,W00539
W00029,372,1/2/12 0:30,31221,38.882915,-76.987907,31228,38.9059,-77.0325,W00029
W01328,804,1/1/12 12:43,31604,38.899408,-77.015289,31229,38.899972,-76.998347,W01328
W00882,3844,1/1/12 14:31,31005,38.8629,-77.0528,31230,38.902061,-77.038322,W00882
W00945,1417,1/1/12 12:52,31242,38.89968,-77.041539,31231,38.927872,-77.043358,W00945
W00526,8681,1/1/12 16:40,31500,38.9268,-77.0322,31232,38.8952,-77.0436,W00526
W00166,733,1/2/12 11:44,31624,38.938736,-77.087171,31233,38.9101,-77.0444,W00166
W01295,878,1/3/12 18:54,31802,38.90985,-77.034438,31234,38.8963,-77.045,W01295
W00805,681,1/3/12 2:25,31003,38.9003,-77.0429,31235,38.8963,-77.045,W00805
W00539,1326,1/3/12 7:59,31232,38.886952,-76.996806,31236,38.9176,-77.0321,W00539
W01187,163,1/2/12 0:49,31506,38.881185,-77.001828,31237,38.9172,-77.0259,W01187
W00139,859,1/2/12 11:43,31202,38.90375,-77.06269,31238,38.905737,-77.02227,W00139
W01355,488,1/1/12 12:57,31106,38.923203,-77.047637,31239,38.90985,-77.034438,W01355
W01215,238,1/4/12 7:56,31247,38.903407,-77.043648,31240,38.90375,-77.06269,W01215
W01185,4279,1/1/12 10:33,31241,38.9059,-77.0325,31241,38.886952,-76.996806,W01185
W00122,473,1/2/12 17:34,31503,38.929464,-77.027822,31242,38.929464,-77.027822,W00122
W01270,138,1/3/12 17:56,31243,38.9155,-77.0222,31243,38.905126,-77.056887,W01270
W01073,301,1/2/12 22:01,31236,38.9121,-77.0387,31244,38.886952,-76.996806,W01073
W00947,2270,1/2/12 14:16,31227,38.9319,-77.0388,31245,38.884,-76.995397,W00947
W01031,261,1/2/12 15:02,31007,38.90304,-77.019027,31246,38.898364,-77.027869,W01031
W01254,561,1/4/12 1:35,31706,38.898385,-77.031666,31247,38.9101,-77.0444,W01254
W00698,765,1/4/12 8:15,31701,38.8963,-77.045,31248,38.898364,-77.027869,W00698
W00481,560,1/4/12 8:59,31705,38.90534,-77.046774,31249,38.862303,-77.059936,W00481
W00540,254,1/4/12 16:00,31250,38.900022,-76.988422,31250,38.9308,-77.0315,W00540
W01355,403,1/4/12 16:05,31251,38.857405,-77.051132,31251,38.923203,-77.047637,W01355
W00289,599,1/4/12 16:43,31253,38.90304,-77.019027,31252,38.91554,-77.03818,W00289
W00532,1233,1/4/12 16:25,31252,38.89696,-77.00493,31253,38.9319,-77.0388,W00532
W00494,778,1/4/12 16:47,31254,38.894514,-77.031617,31254,38.886277,-77.028242,W00494
W00911,501,1/4/12 16:44,31255,38.912719,-77.022155,31255,38.898364,-77.027869,W00911
W01278,108,1/4/12 16:40,31256,38.90304,-77.019027,31256,38.884,-76.995397,W01278
W00705,234,1/4/12 17:09,31257,38.890461,-76.988355,31257,38.905126,-77.056887,W00705
W00244,907,1/4/12 18:18,31046,38.9126,-77.0135,31258,38.8963,-77.045,W00244
,,,,,,31262,38.9154,-77.0446,
,,,,,,31300,38.9172,-77.0259,
,,,,,,31301,38.922925,-77.042581,
,,,,,,31302,38.90276,-77.03863,
,,,,,,31303,38.882915,-76.987907,
,,,,,,31304,38.920669,-77.04368,
,,,,,,31305,38.898385,-77.031666,
,,,,,,31306,38.905067,-77.041779,
,,,,,,31307,38.903407,-77.043648,
,,,,,,31400,38.917761,-77.04062,
,,,,,,31401,38.9057,-77.0056,
,,,,,,31402,38.905996,-77.039802,
,,,,,,31404,38.9101,-77.0444,
,,,,,,31500,38.90985,-77.034438,
,,,,,,31501,38.90985,-77.034438,
,,,,,,31502,38.90985,-77.034438,
,,,,,,31503,38.90375,-77.06269,
,,,,,,31504,38.900412,-77.001949,
,,,,,,31505,38.9101,-77.0444,
,,,,,,31506,38.9308,-77.0315,
,,,,,,31507,38.905126,-77.056887,
,,,,,,31508,38.9059,-77.0325,
,,,,,,31600,38.9008,-77.047,
,,,,,,31601,38.9308,-77.0315,
,,,,,,31602,38.934267,-77.057979,
,,,,,,31603,38.903827,-77.053485,
,,,,,,31604,38.912939,-77.032085,
,,,,,,31605,38.8851,-77.0023,
,,,,,,31606,38.8763,-77.0037,
,,,,,,31607,38.90276,-77.03863,
,,,,,,31608,38.915417,-77.012289,
,,,,,,31609,38.858971,-77.05323,
,,,,,,31610,38.9008,-77.047,
,,,,,,31611,38.9418,-77.0251,
,,,,,,31612,38.886277,-77.028242,
,,,,,,31613,38.9008,-77.047,
,,,,,,31614,38.9176,-77.0321,
,,,,,,31615,38.889955,-77.000349,
,,,,,,31616,38.89696,-77.00493,
,,,,,,31617,38.9176,-77.0321,
,,,,,,31618,38.90276,-77.03863,
,,,,,,31619,38.9057,-77.0056,
,,,,,,31620,38.905737,-77.02227,
,,,,,,31621,38.90375,-77.06269,
,,,,,,31622,38.886277,-77.028242,
,,,,,,31623,38.898364,-77.027869,
,,,,,,31624,38.90375,-77.06269,
,,,,,,31625,38.905737,-77.02227,
,,,,,,31626,38.923203,-77.047637,
,,,,,,31628,38.899408,-77.015289,
,,,,,,31700,38.886952,-76.996806,
,,,,,,31701,38.934881,-77.072755,
,,,,,,31702,38.882915,-76.987907,
,,,,,,31703,38.900022,-76.988422,
,,,,,,31705,38.8763,-77.0037,
,,,,,,31706,38.9101,-77.0444,
,,,,,,31707,38.934881,-77.072755,
,,,,,,31708,38.9319,-77.0388,
,,,,,,31801,38.9154,-77.0446,
,,,,,,31802,38.936043,-77.024649,
,,,,,,31803,38.90375,-77.06269,
,,,,,,31804,38.898385,-77.031666,
,,,,,,31805,38.9154,-77.0446,
,,,,,,31806,38.9418,-77.0251,