Duration,Start date,End date,Start station #,Start station,Start Station Lat,Start Station Lng,End station #,End station,LATITUDE,LONGITUDE,Bike number,Member type,LOCKED,INSTALL_DATE,REMOVAL_DATE,NUMBER_OF_BIKES
418,9/21/10 9:01,9/21/10 8:09,31505,Crystal City Metro / 18th & Bell St,38.910972,-77.00495,31805,20th & Crystal Dr,38.944551,-77.063896,W00745,Member,NO,,,1
,,,,,,,31805,15th & Crystal Dr,38.873057,-76.971015,,,,,,
465,9/21/10 10:56,9/21/10 9:11,31225,14th & Rhode Island Ave NW,38.90375,-77.06269,31804,26th & S Clark St,38.932514,-76.992889,W00519,Member,NO,,,6
,,,,,,,31804,14th & R St NW,38.865784,-76.9784,,,,,,
786,9/20/10 22:12,9/20/10 21:08,31601,5th & K St NW,38.8896,-76.9769,31802,Massachusetts Ave & Dupont Circle NW,38.873057,-76.971015,W00961,Member,NO,,,4
,,,,,,,31802,10th & U St NW,38.867373,-76.988039,,,,,,
695,9/21/10 13:31,9/21/10 11:38,31607,Pentagon City Metro / 12th & S Hayes St,38.882915,-76.987907,31801,S Glebe & Potomac Ave,38.9155,-77.0222,W00996,Casual,NO,,,16
,,,,,,,31801,Calvert & Biltmore St NW,38.862669,-76.994637,,,,,,
764,9/21/10 8:21,9/21/10 0:04,31218,16th & Harvard St NW,38.886266,-77.022241,31704,M St & New Jersey Ave SE,38.901385,-76.941877,W01000,Member,NO,,,0
,,,,,,,31704,Massachusetts Ave & Dupont Circle NW,38.901385,-76.941877,,,,,,
2082,9/21/10 15:50,9/21/10 13:16,31700,20th & E St NW,38.860227,-76.966572,31703,Aurora Hills Community Ctr/18th & Hayes St,38.889955,-77.000349,W00773,Member,NO,,,5
,,,,,,,31703,20th & E St NW,38.897063,-76.947446,,,,,,
407,9/20/10 16:22,9/20/10 16:29,31502,14th & V St NW,38.9346,-76.9955,31702,14th & Rhode Island Ave NW,38.900022,-76.988422,W00642,Member,NO,,,14
,,,,,,,31702,20th St & Florida Ave NW,38.878,-76.9607,,,,,,
,,,,,,,31700,19th St & Pennsylvania Ave NW,38.9057,-77.0056,?(0x000000004752DD3A),Member,NO,,,3
,,,,,,,31700,Calvert & Biltmore St NW,38.860227,-76.966572,,,,,,
1595,9/21/10 11:27,9/21/10 9:38,31623,Calvert & Biltmore St NW,38.89696,-77.00493,31624,Massachusetts Ave & Dupont Circle NW,38.878694,-77.023054,W00804,Member,NO,,,0
,,,,,,,31624,14th & Rhode Island Ave NW,38.897446,-77.009888,,,,,,
,,,,,,,31623,Lamont & Mt Pleasant NW,38.89696,-77.00493,,,,,,
544,9/21/10 0:18,9/20/10 21:54,31624,20th St & Florida Ave NW,38.897446,-77.009888,31622,14th & Rhode Island Ave NW,38.905607,-77.027137,W00772,Member,NO,,,0
,,,,,,,31622,20th & Crystal Dr,38.894832,-76.987633,,,,,,
513,9/21/10 9:12,9/21/10 8:30,31211,14th & Harvard St NW,38.897293,-77.05557,31620,15th & P St NW,38.897222,-77.019347,W00976,Member,NO,,,2
,,,,,,,31620,1st & M St NE,38.897222,-77.019347,,,,,,
599,9/21/10 13:56,9/21/10 11:53,31804,14th & R St NW,38.865784,-76.9784,31619,15th & P St NW,38.897063,-76.947446,W01101,Member,NO,,,8
1268,9/21/10 12:09,9/21/10 10:48,31237,14th St & Spring Rd NW,38.903827,-77.053485,31617,1st & M St NE,38.90774,-77.071652,W00883,Member,NO,,,0
,,,,,,,31617,14th & Harvard St NW,38.900413,-76.982872,,,,,,
,,,,,,,31616,14th & V St NW,38.900412,-77.001949,,,,,,
509,9/20/10 18:52,9/20/10 19:01,31402,20th St & Florida Ave NW,38.947774,-77.032818,31613,Adams Mill & Columbia Rd NW,38.8637,-77.0633,W00344,Member,NO,,,9
,,,,,,,31613,Crystal City Metro / 18th & Bell St,38.884,-76.995397,,,,,,
1593,9/21/10 0:07,9/20/10 21:54,31216,18th & Eads St.,38.899632,-77.031686,31610,Massachusetts Ave & Dupont Circle NW,38.886952,-76.996806,W01030,Member,NO,,,5
,,,,,,,31610,S Glebe & Potomac Ave,38.886952,-76.996806,,,,,,
2467,9/20/10 19:57,9/20/10 20:07,31616,1st & M St NE,38.900412,-77.001949,31609,5th & K St NW,38.910972,-77.00495,W00819,Casual,NO,,,9
,,,,,,,31609,Pentagon City Metro / 12th & S Hayes St,38.878694,-77.023054,,,,,,
219,9/21/10 14:34,9/21/10 12:28,31801,Calvert & Biltmore St NW,38.862669,-76.994637,31608,14th & Rhode Island Ave NW,38.897446,-77.009888,W00999,Casual,NO,,,6
,,,,,,,31608,15th & P St NW,38.8792,-76.9953,,,,,,
1322,9/21/10 14:34,9/21/10 12:31,31300,4th & M St SW,38.944551,-77.063896,31607,1st & M St NE,38.898385,-77.031666,W00886,Casual,NO,,,10
,,,,,,,31607,Adams Mill & Columbia Rd NW,38.882915,-76.987907,,,,,,
1389,9/20/10 19:23,9/20/10 19:41,31004,Calvert & Biltmore St NW,38.857866,-77.05949,31606,14th & V St NW,38.8803,-76.9862,W00928,Casual,NO,,,2
,,,,,,,31606,Massachusetts Ave & Dupont Circle NW,38.8803,-76.9862,,,,,,
304,9/20/10 19:27,9/20/10 19:27,31213,21st & I St NW,38.90276,-77.03863,31605,S Glebe & Potomac Ave,38.8851,-77.0023,W00842,Casual,NO,,,2
,,,,,,,31605,Massachusetts Ave & Dupont Circle NW,38.8851,-77.0023,,,,,,
382,9/20/10 19:18,9/20/10 19:14,31212,Adams Mill & Columbia Rd NW,38.90534,-77.046774,31604,20th & E St NW,38.899408,-77.015289,W00842,Member,NO,,,1
792,9/21/10 8:40,9/21/10 0:32,31703,Minnesota Ave Metro/DOES,38.897063,-76.947446,31603,21st & I St NW,38.933668,-76.991016,W00968,Member,NO,,,9
,,,,,,,31603,5th & K St NW,38.9057,-77.0056,,,,,,
794,9/21/10 14:44,9/21/10 12:40,31400,Park Rd & Holmead Pl NW,38.936043,-77.024649,31602,Adams Mill & Columbia Rd NW,38.894919,-77.046587,W00614,Member,NO,,,3
,,,,,,,31602,5th & K St NW,38.9308,-77.0315,,,,,,
513,9/20/10 20:30,9/20/10 20:14,31302,1st & N St  SE,38.934881,-77.072755,31601,14th & Harvard St NW,38.938736,-77.087171,W00911,Casual,NO,,,5
,,,,,,,31601,Crystal City Metro / 18th & Bell St,38.8896,-76.9769,,,,,,
1733,9/20/10 16:55,9/20/10 17:23,31201,Good Hope Rd & MLK Ave SE,38.90985,-77.034438,31600,5th & K St NW,38.90304,-77.019027,W00911,Member,NO,,,14
,,,,,,,31600,Massachusetts Ave & Dupont Circle NW,38.90304,-77.019027,,,,,,
1811,9/20/10 17:51,9/20/10 18:16,31609,Crystal City Metro / 18th & Bell St,38.878694,-77.023054,31505,19th St & Pennsylvania Ave NW,38.919077,-77.000648,W00563,Member,NO,,,19
,,,,,,,31505,14th St & Spring Rd NW,38.910972,-77.00495,,,,,,
191,9/21/10 9:28,9/21/10 8:40,31224,Georgia & New Hampshire Ave NW,38.903407,-77.043648,31504,4th & M St SW,38.905737,-77.02227,W01070,Member,NO,,,0
,,,,,,,31504,14th & V St NW,38.932514,-76.992889,,,,,,
4954,9/20/10 16:56,9/20/10 18:18,31608,S Glebe & Potomac Ave,38.8792,-76.9953,31503,20th & Crystal Dr,38.858971,-77.05323,W00322,Casual,NO,,,10
,,,,,,,31503,14th & Rhode Island Ave NW,38.9126,-77.0135,,,,,,
752,9/20/10 20:05,9/20/10 20:06,31013,5th & K St NW,38.854381,-77.053412,31502,5th & K St NW,38.9346,-76.9955,W00961,Member,NO,,,5
,,,,,,,31502,20th St & Florida Ave NW,38.9346,-76.9955,,,,,,
2713,9/21/10 12:32,9/21/10 11:13,31620,Lamont & Mt Pleasant NW,38.897222,-77.019347,31501,Massachusetts Ave & Dupont Circle NW,38.900412,-77.001949,W00868,Member,NO,,,0
,,,,,,,31501,14th & Rhode Island Ave NW,38.933668,-76.991016,,,,,,
915,9/20/10 20:10,9/20/10 20:19,31606,15th & P St NW,38.8803,-76.9862,31500,21st & I St NW,38.9176,-77.0321,W00867,Member,NO,,,7
736,9/21/10 11:41,9/21/10 9:39,31704,7th & T St NW,38.901385,-76.941877,31402,Massachusetts Ave & Dupont Circle NW,38.903827,-77.053485,W00523,Member,NO,,,15
,,,,,,,31402,Park Rd & Holmead Pl NW,38.947774,-77.032818,,,,,,
486,9/20/10 19:07,9/20/10 19:00,31202,Massachusetts Ave & Dupont Circle NW,38.912939,-77.032085,31401,27th & Crystal Dr,38.9375,-77.0328,W00796,Member,NO,,,6
,,,,,,,31401,Lamont & Mt Pleasant NW,38.9375,-77.0328,,,,,,
385,9/20/10 16:57,9/20/10 17:04,31108,14th & V St NW,38.8767,-77.0178,31400,5th & K St NW,38.936043,-77.024649,W00814,Member,NO,,,4
,,,,,,,31400,15th & Crystal Dr,38.936043,-77.024649,,,,,,
,,,,,,,31305,1st & M St NE,38.934267,-77.057979,,,,,,
988,9/20/10 21:28,9/20/10 20:27,31304,15th & Crystal Dr,38.922581,-77.070334,31304,Massachusetts Ave & Dupont Circle NW,38.91554,-77.03818,W00380,Member,NO,,,1
,,,,,,,31304,1st & N St  SE,38.922581,-77.070334,,,,,,
1193,9/21/10 13:07,9/21/10 11:16,31226,20th St & Florida Ave NW,38.916442,-77.0682,31303,21st & I St NW,38.865784,-76.9784,W00773,Casual,NO,,,2
,,,,,,,31303,20th & Crystal Dr,38.947607,-77.079382,,,,,,
298,9/21/10 11:09,9/21/10 9:12,31702,Massachusetts Ave & Dupont Circle NW,38.878,-76.9607,31302,14th & Rhode Island Ave NW,38.89696,-77.00493,W00903,Casual,NO,,,16
,,,,,,,31302,4th & M St SW,38.934881,-77.072755,,,,,,
793,9/21/10 15:32,9/21/10 12:40,31301,20th & Crystal Dr,38.938736,-77.087171,31301,14th & R St NW,38.882915,-76.987907,W01101,Member,NO,,,0
,,,,,,,31301,20th & E St NW,38.938736,-77.087171,,,,,,
783,9/21/10 8:39,9/21/10 0:20,31503,14th St & Spring Rd NW,38.9126,-77.0135,31300,14th & V St NW,38.905067,-77.041779,W00825,Casual,NO,,,5
,,,,,,,31300,14th St & Spring Rd NW,38.944551,-77.063896,,,,,,
2325,9/20/10 19:53,9/20/10 20:02,31617,20th & Crystal Dr,38.900413,-76.982872,31266,21st & I St NW,38.899632,-77.031686,W00867,Member,NO,,,1
1251,9/21/10 13:44,9/21/10 12:02,31238,20th & E St NW,38.898385,-77.031666,31238,14th & V St NW,38.900413,-76.982872,W00773,Member,NO,,,0
,,,,,,,31238,4th & M St SW,38.898385,-77.031666,,,,,,
357,9/20/10 20:54,9/20/10 20:13,31622,14th & Rhode Island Ave NW,38.894832,-76.987633,31237,Georgia & New Hampshire Ave NW,38.886266,-77.022241,W00968,Member,NO,,,9
,,,,,,,31237,M St & New Jersey Ave SE,38.903827,-77.053485,,,,,,
1352,9/21/10 11:47,9/21/10 10:05,31236,4th & M St SW,38.90774,-77.071652,31236,14th & V St NW,38.8923,-77.0436,W00928,Member,NO,,,1
,,,,,,,31236,S Glebe & Potomac Ave,38.90774,-77.071652,,,,,,
554,9/21/10 9:07,9/21/10 8:28,31235,M St & New Jersey Ave SE,38.8923,-77.0436,31235,Massachusetts Ave & Dupont Circle NW,38.916442,-77.0682,W00819,Member,NO,,,20
,,,,,,,31235,15th & P St NW,38.8923,-77.0436,,,,,,
525,9/20/10 23:51,9/20/10 21:16,31303,1st & M St NE,38.947607,-77.079382,31229,15th & P St NW,38.8896,-76.9769,W01034,Member,NO,,,0
,,,,,,,31229,14th & V St NW,38.91554,-77.03818,,,,,,
896,9/21/10 11:59,9/21/10 10:11,31228,15th & P St NW,38.8997,-77.023086,31228,15th & P St NW,38.90375,-77.06269,W01058,Casual,NO,,,0
,,,,,,,31228,20th St & Florida Ave NW,38.8997,-77.023086,,,,,,
2140,9/21/10 9:42,9/21/10 9:15,31805,15th & Crystal Dr,38.873057,-76.971015,31227,14th & R St NW,38.934881,-77.072755,W00428,Member,NO,,,0
,,,,,,,31227,14th & Rhode Island Ave NW,38.900283,-77.029822,,,,,,
805,9/21/10 13:05,9/21/10 11:00,31229,S Glebe & Potomac Ave,38.91554,-77.03818,31226,14th & Rhode Island Ave NW,38.8997,-77.023086,W00796,Member,NO,,,2
,,,,,,,31226,Georgia & New Hampshire Ave NW,38.916442,-77.0682,,,,,,
5458,9/21/10 13:28,9/21/10 12:40,31227,14th & V St NW,38.900283,-77.029822,31225,15th & P St NW,38.947607,-77.079382,W00471,Member,NO,,,5
,,,,,,,31225,Adams Mill & Columbia Rd NW,38.90375,-77.06269,,,,,,
267,9/21/10 10:47,9/21/10 9:05,31504,Massachusetts Ave & Dupont Circle NW,38.932514,-76.992889,31224,21st & I St NW,38.878,-76.9607,W00322,Member,NO,,,27
,,,,,,,31224,15th & P St NW,38.903407,-77.043648,,,,,,
480,9/21/10 9:03,9/21/10 8:12,31223,Adams Mill & Columbia Rd NW,38.905737,-77.02227,31223,15th & P St NW,38.899032,-77.033354,W00734,Member,NO,,,4
,,,,,,,31223,20th St & Florida Ave NW,38.905737,-77.02227,,,,,,
874,9/21/10 10:28,9/21/10 8:56,31222,15th & P St NW,38.899032,-77.033354,31222,Massachusetts Ave & Dupont Circle NW,38.893028,-77.026013,W00777,Member,NO,,,1
,,,,,,,31222,10th & U St NW,38.899032,-77.033354,,,,,,
507,9/20/10 17:46,9/20/10 17:53,31501,14th & Rhode Island Ave NW,38.933668,-76.991016,31221,Massachusetts Ave & Dupont Circle NW,38.884,-76.995397,W01007,Member,NO,,,5
,,,,,,,31221,16th & Harvard St NW,38.905067,-77.041779,,,,,,
303,9/21/10 11:56,9/21/10 9:59,31305,Lamont & Mt Pleasant NW,38.934267,-77.057979,31220,15th & P St NW,38.922581,-77.070334,W00968,Member,NO,,,18
347,9/20/10 20:19,9/20/10 20:11,31221,20th St & Florida Ave NW,38.905067,-77.041779,31219,19th St & Pennsylvania Ave NW,38.934267,-77.057979,W00830,Member,NO,,,7
,,,,,,,31219,Crystal City Metro / 18th & Bell St,38.893028,-77.026013,,,,,,
827,9/20/10 20:05,9/20/10 19:41,31613,14th & Harvard St NW,38.884,-76.995397,31218,27th & Crystal Dr,38.9126,-77.0135,W00747,Member,NO,,,5
,,,,,,,31218,Georgia Ave and Fairmont St NW,38.886266,-77.022241,,,,,,
696,9/21/10 8:03,9/20/10 22:23,31215,Georgia Ave and Fairmont St NW,38.902221,-77.059219,31217,Massachusetts Ave & Dupont Circle NW,38.886277,-77.028242,W00903,Member,NO,,,1
,,,,,,,31217,26th & S Clark St,38.886277,-77.028242,,,,,,
668,9/20/10 19:18,9/20/10 19:04,31610,14th & V St NW,38.886952,-76.996806,31216,19th St & Pennsylvania Ave NW,38.862669,-76.994637,W00842,Member,NO,,,13
,,,,,,,31216,21st & I St NW,38.899632,-77.031686,,,,,,
224,9/21/10 8:19,9/20/10 23:10,31217,Crystal City Metro / 18th & Bell St,38.886277,-77.028242,31215,14th & Rhode Island Ave NW,38.902221,-77.059219,W00830,Member,NO,,,12
,,,,,,,31215,Adams Mill & Columbia Rd NW,38.902221,-77.059219,,,,,,
1669,9/20/10 21:07,9/20/10 20:38,31214,26th & S Clark St,38.9121,-77.0387,31214,21st & I St NW,38.9121,-77.0387,W01113,Member,NO,,,18
,,,,,,,31214,14th & Harvard St NW,38.9121,-77.0387,,,,,,
1136,9/20/10 19:22,9/20/10 19:33,31206,15th & P St NW,38.8952,-77.0436,31213,20th St & Florida Ave NW,38.90276,-77.03863,W00318,Member,NO,,,0
,,,,,,,31213,19th St & Pennsylvania Ave NW,38.90276,-77.03863,,,,,,
692,9/20/10 19:14,9/20/10 19:04,31204,14th St & Spring Rd NW,38.8963,-77.045,31212,Calvert & Biltmore St NW,38.90534,-77.046774,W00472,Casual,NO,,,1
,,,,,,,31212,M St & New Jersey Ave SE,38.90534,-77.046774,,,,,,
1366,9/21/10 8:42,9/21/10 7:46,31219,10th & U St NW,38.893028,-77.026013,31211,20th St & Florida Ave NW,38.897293,-77.05557,W00555,Member,NO,,,9
,,,,,,,31211,14th & Rhode Island Ave NW,38.897293,-77.05557,,,,,,
235,9/20/10 18:48,9/20/10 18:48,31107,23rd & Crystal Dr,38.9319,-77.0388,31209,10th & U St NW,38.8743,-77.0057,W00930,Member,NO,,,8
,,,,,,,31209,15th & P St NW,38.8743,-77.0057,,,,,,
892,9/20/10 17:16,9/20/10 17:31,31203,15th & P St NW,38.9086,-77.0323,31208,20th & Crystal Dr,38.8763,-77.0037,W01113,Casual,NO,,,9
,,,,,,,31208,15th & P St NW,38.8763,-77.0037,,,,,,
169,9/20/10 18:42,9/20/10 18:43,31007,Massachusetts Ave & Dupont Circle NW,38.857405,-77.051132,31207,7th & T St NW,38.9249,-77.0222,W00563,Member,NO,,,3
,,,,,,,31207,Massachusetts Ave & Dupont Circle NW,38.9249,-77.0222,,,,,,
132,9/20/10 18:44,9/20/10 18:45,31105,15th & P St NW,38.9268,-77.0322,31206,Minnesota Ave Metro/DOES,38.8952,-77.0436,W00289,Member,NO,,,0
,,,,,,,31206,27th & Crystal Dr,38.8952,-77.0436,,,,,,
1037,9/20/10 17:41,9/20/10 17:53,31104,19th St & Pennsylvania Ave NW,38.922925,-77.042581,31205,18th & Eads St.,38.9008,-77.047,W00903,Member,NO,,,0
,,,,,,,31205,S Glebe & Potomac Ave,38.9008,-77.047,,,,,,
956,9/20/10 15:01,9/20/10 15:17,31101,14th & V St NW,38.9176,-77.0321,31204,Park Rd & Holmead Pl NW,38.8963,-77.045,W01058,Member,NO,,,0
,,,,,,,31204,19th St & Pennsylvania Ave NW,38.8963,-77.045,,,,,,
451,9/20/10 17:35,9/20/10 17:24,31205,Park Rd & Holmead Pl NW,38.9008,-77.047,31203,14th St & Spring Rd NW,38.9086,-77.0323,W00850,Member,NO,,,10
,,,,,,,31203,4th & M St SW,38.9086,-77.0323,,,,,,
2550,9/20/10 18:12,9/20/10 18:51,31000,14th & Rhode Island Ave NW,38.858971,-77.05323,31202,Good Hope Rd & MLK Ave SE,38.912939,-77.032085,W00747,Member,NO,,,19
,,,,,,,31202,5th & K St NW,38.912939,-77.032085,,,,,,
1436,9/21/10 14:28,9/21/10 12:23,31802,10th & U St NW,38.867373,-76.988039,31201,Eads St & 15th St S,38.894832,-76.987633,W00492,Casual,NO,,,3
,,,,,,,31201,14th & V St NW,38.90985,-77.034438,,,,,,
3044,9/20/10 14:28,9/20/10 15:19,31100,19th St & Pennsylvania Ave NW,38.9003,-77.0429,31200,Pentagon City Metro / 12th & S Hayes St,38.9101,-77.0444,W00993,Casual,NO,,,12
,,,,,,,31200,23rd & Crystal Dr,38.9101,-77.0444,,,,,,
312,9/21/10 11:46,9/21/10 9:33,31112,S Glebe & Potomac Ave,38.927872,-77.043358,31112,Lamont & Mt Pleasant NW,38.927872,-77.043358,W01101,Member,NO,,,4
,,,,,,,31112,21st & I St NW,38.927872,-77.043358,,,,,,
466,9/20/10 17:44,9/20/10 17:49,31110,4th & M St SW,38.9154,-77.0446,31111,Crystal City Metro / 18th & Bell St,38.9172,-77.0259,W00968,Member,NO,,,15
,,,,,,,31111,15th & P St NW,38.9172,-77.0259,,,,,,
462,9/20/10 18:09,9/20/10 17:58,31106,21st & I St NW,38.923203,-77.047637,31110,S Glebe & Potomac Ave,38.9154,-77.0446,W00842,Member,NO,,,7
,,,,,,,31110,19th St & Pennsylvania Ave NW,38.9154,-77.0446,,,,,,
,,,,,,,31109,15th & P St NW,38.9155,-77.0222,,,,,,
1012,9/20/10 11:27,9/20/10 11:43,31208,M St & New Jersey Ave SE,38.8763,-77.0037,31108,Aurora Hills Community Ctr/18th & Hayes St,38.8767,-77.0178,W00742,Member,NO,,,23
,,,,,,,31108,Georgia Ave and Fairmont St NW,38.8767,-77.0178,,,,,,
583,9/20/10 18:28,9/20/10 18:35,31012,23rd & Crystal Dr,38.850688,-77.05152,31107,1st & M St NE,38.9319,-77.0388,W00322,Member,NO,,,12
,,,,,,,31107,14th & V St NW,38.9319,-77.0388,,,,,,
199,9/20/10 18:31,9/20/10 18:31,31209,19th St & Pennsylvania Ave NW,38.8743,-77.0057,31106,1st & N St  SE,38.923203,-77.047637,W00735,Member,NO,,,3
,,,,,,,31106,19th St & Pennsylvania Ave NW,38.923203,-77.047637,,,,,,
1750,9/21/10 12:41,9/21/10 11:00,31602,Massachusetts Ave & Dupont Circle NW,38.9308,-77.0315,31105,Georgia Ave and Fairmont St NW,38.9003,-77.0429,W00476,Member,NO,,,1
,,,,,,,31105,5th & K St NW,38.9268,-77.0322,,,,,,
1640,9/20/10 18:25,9/20/10 18:46,31010,Massachusetts Ave & Dupont Circle NW,38.8426,-77.0502,31104,14th & Harvard St NW,38.922925,-77.042581,?(0x000000007C120F6A),Member,NO,,,9
,,,,,,,31104,23rd & Crystal Dr,38.922925,-77.042581,,,,,,
7275,9/20/10 15:57,9/20/10 17:58,31111,19th St & Pennsylvania Ave NW,38.9172,-77.0259,31103,19th & E Street NW,38.926088,-77.036536,W00976,Member,NO,,,3
,,,,,,,31103,23rd & Crystal Dr,38.926088,-77.036536,,,,,,
392,9/21/10 10:30,9/21/10 8:51,31102,Georgia Ave and Fairmont St NW,38.929464,-77.027822,31102,5th & K St NW,38.929464,-77.027822,W00976,Member,NO,,,21
,,,,,,,31102,Massachusetts Ave & Dupont Circle NW,38.929464,-77.027822,,,,,,
5478,9/21/10 13:07,9/21/10 12:40,31603,Massachusetts Ave & Dupont Circle NW,38.9057,-77.0056,31101,14th & R St NW,38.867373,-76.988039,W00281,Casual,NO,,,4
,,,,,,,31101,27th & Crystal Dr,38.9176,-77.0321,,,,,,
204,9/20/10 21:45,9/20/10 20:22,31600,5th & K St NW,38.90304,-77.019027,31100,Georgia & New Hampshire Ave NW,38.903407,-77.043648,W00796,Member,NO,,,4
,,,,,,,31100,10th & U St NW,38.9003,-77.0429,,,,,,
961,9/20/10 20:07,9/20/10 20:13,31008,10th & U St NW,38.8629,-77.0528,31013,20th & E St NW,38.854381,-77.053412,W00605,Member,NO,,,7
,,,,,,,31013,Massachusetts Ave & Dupont Circle NW,38.854381,-77.053412,,,,,,
1238,9/20/10 13:28,9/20/10 13:48,31002,20th & Crystal Dr,38.856425,-77.049232,31012,4th & M St SW,38.850688,-77.05152,W01034,Member,NO,,,1
,,,,,,,31012,5th & K St NW,38.850688,-77.05152,,,,,,
433,9/20/10 13:55,9/20/10 14:02,31011,23rd & Crystal Dr,38.8533,-77.0498,31011,14th & V St NW,38.8533,-77.0498,W00764,Member,NO,,,4
,,,,,,,31011,5th & K St NW,38.8533,-77.0498,,,,,,
259,9/20/10 18:35,9/20/10 18:38,31109,5th & K St NW,38.9155,-77.0222,31010,S Joyce & Army Navy Dr,38.8426,-77.0502,W00796,Member,NO,,,6
,,,,,,,31010,14th & V St NW,38.8426,-77.0502,,,,,,
387,9/20/10 13:20,9/20/10 13:27,31009,27th & Crystal Dr,38.848466,-77.051514,31009,16th & Harvard St NW,38.848466,-77.051514,W00821,Member,NO,,,1
,,,,,,,31009,Massachusetts Ave & Dupont Circle NW,38.848466,-77.051514,,,,,,
146,9/20/10 19:26,9/20/10 19:20,31006,Eads St & 15th St S,38.8637,-77.0633,31008,19th St & Pennsylvania Ave NW,38.8629,-77.0528,W00796,Casual,NO,,,1
,,,,,,,31008,S Glebe & Potomac Ave,38.8629,-77.0528,,,,,,
638,9/20/10 18:34,9/20/10 18:41,31001,Adams Mill & Columbia Rd NW,38.85725,-77.05332,31007,26th & S Clark St,38.857405,-77.051132,W00344,Member,NO,,,5
,,,,,,,31007,Calvert & Biltmore St NW,38.857405,-77.051132,,,,,,
914,9/21/10 10:27,9/21/10 8:55,31401,14th & Rhode Island Ave NW,38.9375,-77.0328,31006,23rd & Crystal Dr,38.9308,-77.0315,W01059,Casual,NO,,,0
,,,,,,,31006,Calvert & Biltmore St NW,38.8637,-77.0633,,,,,,
793,9/20/10 18:43,9/20/10 18:55,31103,15th & P St NW,38.926088,-77.036536,31005,M St & New Jersey Ave SE,38.862303,-77.059936,W00993,Member,NO,,,8
,,,,,,,31005,27th & Crystal Dr,38.862303,-77.059936,,,,,,
521,9/20/10 18:40,9/20/10 18:43,31207,14th & Rhode Island Ave NW,38.9249,-77.0222,31004,Calvert & Biltmore St NW,38.857866,-77.05949,W00930,Member,NO,,,9
,,,,,,,31004,21st & I St NW,38.857866,-77.05949,,,,,,
1864,9/20/10 18:18,9/20/10 18:43,31005,21st & I St NW,38.862303,-77.059936,31003,20th St & Florida Ave NW,38.86017,-77.049593,W01050,Member,NO,,,3
,,,,,,,31003,15th & P St NW,38.86017,-77.049593,,,,,,
557,9/20/10 16:45,9/20/10 16:54,31200,27th & Crystal Dr,38.9101,-77.0444,31002,20th & Crystal Dr,38.856425,-77.049232,W01079,Casual,NO,,,8
,,,,,,,31002,10th & U St NW,38.856425,-77.049232,,,,,,
375,9/20/10 18:52,9/20/10 18:54,31003,20th St & Florida Ave NW,38.86017,-77.049593,31001,15th & Crystal Dr,38.85725,-77.05332,W01016,Member,NO,,,2
,,,,,,,31001,Adams Mill & Columbia Rd NW,38.85725,-77.05332,,,,,,
1409,9/20/10 13:22,9/20/10 13:46,31605,Adams Mill & Columbia Rd NW,38.8851,-77.0023,31000,Massachusetts Ave & Dupont Circle NW,38.9268,-77.0322,W00833,Member,NO,,,0
,,,,,,,31000,14th & Rhode Island Ave NW,38.858971,-77.05323,,,,,,